year,level_of_education,level,no_of_classes,ave_class_size
2022,Secondary,Secondary 5,165,17.5
2022,Pre-University,All,1090,23.1
2022,Pre-University,JC 1 / PreU 1,544,23.7
2022,Pre-University,JC 2 / PreU 2,538,22.6
2022,Pre-University,PreU 3,8,26.1
2023,Primary,All,7080,33.6
2023,Primary,Primary 1,1335,29.5
2023,Primary,Primary 2,1359,29.5
2023,Primary,Primary 3,1100,37
2023,Primary,Primary 4,1057,36.1
2023,Primary,Primary 5,1139,36.1
2023,Primary,Primary 6,1090,35.1
2023,Secondary,All,4894,32.6
2023,Secondary,Secondary 1,1132,32.9
2023,Secondary,Secondary 2,1159,34
2023,Secondary,Secondary 3,1207,33.6
2023,Secondary,Secondary 4,1231,32.2
2023,Secondary,Secondary 5,165,16.2
2023,Pre-University,All,1088,23.1
2023,Pre-University,JC 1 / PreU 1,550,23.2
2023,Pre-University,JC 2 / PreU 2,532,22.9
2023,Pre-University,PreU 3,6,26
